[ 2026-03-04 13:15:15,672 ] asyncio - DEBUG - Using proactor: IocpProactor
[ 2026-03-04 13:19:39,314 ] root - INFO - Entered the run_pipeline method of TrainPipeline class
[ 2026-03-04 13:19:39,314 ] root - INFO - Entered the start_data_ingestion method of TrainPipeline class
[ 2026-03-04 13:19:39,314 ] root - INFO - Getting the data from mongodb
[ 2026-03-04 13:19:39,314 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-03-04 13:19:39,314 ] root - INFO - Exporting data from mongodb
[ 2026-03-04 13:22:23,584 ] root - INFO - Entered the run_pipeline method of TrainPipeline class
[ 2026-03-04 13:22:23,585 ] root - INFO - Entered the start_data_ingestion method of TrainPipeline class
[ 2026-03-04 13:22:23,585 ] root - INFO - Getting the data from mongodb
[ 2026-03-04 13:22:23,585 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-03-04 13:22:23,585 ] root - INFO - Exporting data from mongodb
[ 2026-03-04 13:22:27,031 ] root - INFO - Shape of dataframe: (2240, 29)
[ 2026-03-04 13:22:27,032 ] root - INFO - Saving exported data into feature store file path: src\artifact\03_04_2026_13_22_22\data_ingestion\feature_store\customer.csv
[ 2026-03-04 13:22:27,075 ] root - INFO - Got the data from mongodb
[ 2026-03-04 13:22:27,076 ] root - INFO - Entered split_data_as_train_test method of Data_Ingestion class
[ 2026-03-04 13:22:27,080 ] root - INFO - Performed train test split on the dataframe
[ 2026-03-04 13:22:27,080 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-04 13:22:27,093 ] root - INFO - Training data has been saved
[ 2026-03-04 13:22:27,097 ] root - INFO - Test data has been saved
[ 2026-03-04 13:22:27,098 ] root - INFO - Performed train test split on the dataset
[ 2026-03-04 13:22:27,098 ] root - INFO - Exited initiate_data_ingestion method of Data_Ingestion class
[ 2026-03-04 13:22:27,098 ] root - INFO - Data ingestion artifact: DataIngestionArtifact(trained_file_path='src\\artifact\\03_04_2026_13_22_22\\data_ingestion\\ingested\\train.csv', test_file_path='src\\artifact\\03_04_2026_13_22_22\\data_ingestion\\ingested\\test.csv')
[ 2026-03-04 13:22:27,098 ] root - INFO - Got the train_set and test_set from mongodb
[ 2026-03-04 13:22:27,098 ] root - INFO - Exited the start_data_ingestion method of TrainPipeline class
[ 2026-03-04 13:22:27,098 ] root - INFO - Entered the start_data_validation method of TrainPipeline class
[ 2026-03-04 13:22:27,102 ] root - INFO - Entered initiate_data_validation method of Data_Validation class
[ 2026-03-04 13:22:27,102 ] root - INFO - Initiated data validation for the dataset
[ 2026-03-04 13:22:27,583 ] root - INFO - 1/26 drift detected.
[ 2026-03-04 13:22:27,583 ] root - INFO - Entered validate_dataset_schema_columns method of Data_Validation class
[ 2026-03-04 13:22:27,583 ] root - INFO - Validating dataset schema columns
[ 2026-03-04 13:22:27,583 ] root - INFO - Is required column present[{status}]
[ 2026-03-04 13:22:27,583 ] root - INFO - Validated dataset schema columns on the train set
[ 2026-03-04 13:22:27,583 ] root - INFO - Is required column present[{status}]
[ 2026-03-04 13:22:27,583 ] root - INFO - Validated dataset schema columns on the test set
[ 2026-03-04 13:22:27,583 ] root - INFO - Validated dataset schema columns
[ 2026-03-04 13:22:27,583 ] root - INFO - Schema train cols status is True and schema test cols status is True
[ 2026-03-04 13:22:27,583 ] root - INFO - Validated dataset schema columns
[ 2026-03-04 13:22:27,583 ] root - INFO - Dataset schema validation completed
[ 2026-03-04 13:22:27,583 ] root - INFO - Performed the data validation operation
[ 2026-03-04 13:22:27,583 ] root - INFO - Exited the start_data_validation method of TrainPipeline class
[ 2026-03-04 13:22:27,583 ] root - INFO - Entered the start_data_transformation method of TrainPipeline class
[ 2026-03-04 13:22:27,583 ] root - INFO - Entered initiate_data_transformation method of Data_Transformation class
[ 2026-03-04 13:23:59,578 ] root - INFO - Entered the run_pipeline method of TrainPipeline class
[ 2026-03-04 13:23:59,578 ] root - INFO - Entered the start_data_ingestion method of TrainPipeline class
[ 2026-03-04 13:23:59,578 ] root - INFO - Getting the data from mongodb
[ 2026-03-04 13:23:59,578 ] root - INFO - Entered initiate_data_ingestion method of Data_Ingestion class
[ 2026-03-04 13:23:59,578 ] root - INFO - Exporting data from mongodb
[ 2026-03-04 13:24:04,057 ] root - INFO - Shape of dataframe: (2240, 29)
[ 2026-03-04 13:24:04,058 ] root - INFO - Saving exported data into feature store file path: src\artifact\03_04_2026_13_23_58\data_ingestion\feature_store\customer.csv
[ 2026-03-04 13:24:04,075 ] root - INFO - Got the data from mongodb
[ 2026-03-04 13:24:04,075 ] root - INFO - Entered split_data_as_train_test method of Data_Ingestion class
[ 2026-03-04 13:24:04,076 ] root - INFO - Performed train test split on the dataframe
[ 2026-03-04 13:24:04,076 ] root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-03-04 13:24:04,089 ] root - INFO - Training data has been saved
[ 2026-03-04 13:24:04,093 ] root - INFO - Test data has been saved
[ 2026-03-04 13:24:04,093 ] root - INFO - Performed train test split on the dataset
[ 2026-03-04 13:24:04,093 ] root - INFO - Exited initiate_data_ingestion method of Data_Ingestion class
[ 2026-03-04 13:24:04,093 ] root - INFO - Data ingestion artifact: DataIngestionArtifact(trained_file_path='src\\artifact\\03_04_2026_13_23_58\\data_ingestion\\ingested\\train.csv', test_file_path='src\\artifact\\03_04_2026_13_23_58\\data_ingestion\\ingested\\test.csv')
